source_file,case_id,keyword_score,quoted_text
fraud_core,2488,15,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
fraud_core,68959,15,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
deposit_dispute,2488,15,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
deposit_dispute,68959,15,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
deposit_dispute,11329,13,"“임대주택건설촉진법의 적용을 받는 임대주택의 임대인은 같은 법 시행규칙 제9조 각호 소정의 사유가 있는 경우라야 그 임대차계약을 해지하거나 계약의 갱신을 거절할 수 있고, 그렇지 아니한 경우에는 특별한 사정이 없는 한 임차인이 임대차계약의 갱신을 원하는 때에는 임대인은 임대차계약의 갱신을 거절할 수 없고 당해 임대차계약은 갱신되는 것으로 보아야 한다.”"
fraud_core,124256,12,"“이 사건 전세권설정계약은 통정허위표시로서 무효이다. 섬유신협은 이 사건 전세권근저당권설정등기 당시 이 사건 전세권설정계약이 통정허위표시라는 사정을 알았으므로, 피고 예금보험공사는 원고에게 이 사건 전세권근저당권설정등기의 말소등기절차를 이행할 의무가 있다. 또 피고 2, 3과 소외 1, 인수참가인이 이 사건 전세권설정계약이 통정허위표시에 해당함을 알면서 각 이 사건 전세권이전의 부기등기를 마쳤으므로, 인수참가인은 원고에게 이 사건 전세권설정등기의 말소등기절차를 이행할 의무가 있다.”"
fraud_core,146502,12,"“위 신탁계약 체결 전에 위탁자와 임차인 간에 체결된 임대차계약은 그 상태로 유효하며 위탁자가 임대차보증금의 반환의무, 기타 임대인으로서의 책임 및 권리 등 임대인의 지위를 계속하여 유지하고, 임대차계약상 임대인의 명의를 수탁자로 갱신하고 임대차보증금을 위탁자와 수탁자간에 인수·인계하는 경우에는 임대인의 지위를 수탁자가 승계하는 것으로 한다”"
deposit_dispute,124256,12,"“이 사건 전세권설정계약은 통정허위표시로서 무효이다. 섬유신협은 이 사건 전세권근저당권설정등기 당시 이 사건 전세권설정계약이 통정허위표시라는 사정을 알았으므로, 피고 예금보험공사는 원고에게 이 사건 전세권근저당권설정등기의 말소등기절차를 이행할 의무가 있다. 또 피고 2, 3과 소외 1, 인수참가인이 이 사건 전세권설정계약이 통정허위표시에 해당함을 알면서 각 이 사건 전세권이전의 부기등기를 마쳤으므로, 인수참가인은 원고에게 이 사건 전세권설정등기의 말소등기절차를 이행할 의무가 있다.”"
deposit_dispute,146502,12,"“위 신탁계약 체결 전에 위탁자와 임차인 간에 체결된 임대차계약은 그 상태로 유효하며 위탁자가 임대차보증금의 반환의무, 기타 임대인으로서의 책임 및 권리 등 임대인의 지위를 계속하여 유지하고, 임대차계약상 임대인의 명의를 수탁자로 갱신하고 임대차보증금을 위탁자와 수탁자간에 인수·인계하는 경우에는 임대인의 지위를 수탁자가 승계하는 것으로 한다”"
fraud_core,61644,11,"‘이 사건 제1부동산 임대차계약서 사본 2매(현 임차인 B, 전 임차인 L)로 제(원고)가 알고 싶은 계약자, 계약금액, 계약조건 등을 확인할 수 있어, 제 업무에 도움이 된 점, 한번 더 고마운 마음을 전해 올립니다. 계약서에 임대인 E, A으로 되어 있고, 저의 인감이 날인되어 있어 제가 계약서 작성시 참석하지 않았는데 어떤 일인지 사장님께 문의한바 계약서 작성시 사장님(H)께서도 E에게 A의 확인을 요구한바, A의 동의를 받았고, E 본인이 책임을 지겠다하여 계약을 성사할 수 있었다고 한, 그 당시의 상황을 이해하고 있습니다’"
