source,case_id,split,clause_text,gold_risk_level,gold_risk_type,label_grade,note
real_labels.md,광고대행_2025-03,train,"업무 이행 후 수수료 20%만 반환하며, 나머지 80%는 위약금으로 귀속한다",위험,과도한 위약금,A,약관법 제8조 위반 소지로 조정원이 전액 환불 성립시킴
real_labels.md,신발도매_2013,train,해지 시 예치가맹비의 10~50%를 위약벌로 한다,위험,과도한 위약금,A,공정위 2004약제2214 선례와 쟁점 공통 — 조정 성립(위약금 일부 반환)
real_labels.md,즉시연금_2017-17,train,생존연금 지급금액은 변동할 수 있으며 최저보증이율 미만으로 지급될 수 있다,위험,불명확한 수수료·이자 조건,A,금융분쟁조정위 제2017-17호 — 최저보증이율 미만 지급은 약관 위반으로 판정
real_labels.md,바로연금보험_2018-8,val,연금지급금액은 만기보험금을 고려하여 산정한다,위험,불명확한 수수료·이자 조건,A,"금융분쟁조정위 제2018-8호 — 작성자불이익 원칙, 만기보험금 차감 근거 불명확으로 인용"
hldcc_20,20,test,이 사건 주택에 관한 모든 수리비용은 임차인의 책임으로 한다,위험,책임 면제,A,정부 조정위 무효 확인 — 임대인 법정 유지수선의무 포괄전가
hldcc_990,990,test,임차인은 전세계약갱신청구권을 요구하지 않는다,위험,일방적 계약 해지,A,주택임대차보호법 제6조의3 제1항 배제 특약 — 특별사정 없어 무효
hldcc_37,37,test,임차인은 보증금과 차임·사용료·보험금·청소비 및 기타 부과금의 지급을 지연하는 때에는 일반적으로 판결 시 정하는 법정이자를 가산한다,위험,불명확한 수수료·이자 조건,A,모호한 법정이자 문구 — 조정위가 민법 제379조 연 5%로 확정
hldcc_24,24,test,관리비와 제반된 공과금은 임차인이 부담한다,위험,불명확한 수수료·이자 조건,A,포괄조항이 장기수선충당금까지 자동전가 못함(부분 무효) — 명시 여부가 유효성 가름(대조: id=2358)
hldcc_1052,1052,test,계약갱신여부는 만료 6개월~1개월 전까지만 통지하면 된다,안전,해당 없음,A,임차인이 유리하게 원용 가능한 조항이라 불리한 약정 아님(대법원 96다5551)
hldcc_2358,2358,test,임대차계약기간중의 모든관리비등(장기수선충당금 포함)은 임차인이 부담한다,안전,해당 없음,A,장기수선충당금 포함을 명시했기에 유효(id=24와 대조)
hldcc_932,932,test,중대한 고장(보일러 누수 등)은 임대인이 소모적인 고장은 임차인이 수리한다,안전,해당 없음,A,통상적이고 합리적인 책임분담 조항
hldcc_1037,1037,test,관리비와 사용료는 특약기한까지 납부하며 임대사업자는 명세서를 첨부하여 통지한다,안전,해당 없음,A,절차적 조항으로 문제없음
hldcc_23,23,test,고의 또는 부주의에 의한 파손 및 도난시 임차인의 비용으로 변상한다,안전,해당 없음,A,귀책사유 있는 경우로 한정된 적법한 조항
hldcc_35,35,test,임대차계약 종료시 임차인은 주택을 원상회복하여 반환한다,안전,해당 없음,A,민법 제615조 원칙을 확인한 표준조항
hldcc_36,36,test,계약기간 만료 전 해지시 차임 한 달분을 위약금으로 할 수 있다,안전,해당 없음,A,위약금 액수가 과도하지 않은 수준으로 평가되어 유효
hldcc_1051,1051,test,결로 방습 등에 있어 선량한 관리자의 주의의무를 다한다,안전,해당 없음,A,일반적 주의의무 조항
hldcc_2398,2398,test,반려동물 사육을 금지한다,안전,해당 없음,A,"통상적 조항, 위반시 손해액은 임대인이 입증해야 함"
hldcc_1157,1157,test,도배 장판 파손시 변상 및 원상회복하며 퇴실시 청소비 20만원을 공제한다,안전,해당 없음,A,청소비 정액조항 등 통상적 수준
lbox_2488,2488,test,당사는 상기 부동산담보신탁계약의 수탁자로서 임대차보증금 반환책임 및 임대부동산의 수선의무 등에 대하여 당사는 이에 대하여 일체의 책임이 없으며,위험,신탁관계·소유권 불안정 고지,A,신탁물건 임대차 — 소유권 구조 불안정으로 구조적 위험 신호(전세사기 핵심 패턴)
lbox_62108,62108,test,피고 회사는 이 사건 임대차계약 특약사항 제10조(신탁등기 말소) 및 제11조(전세권 설정)의 이행을 지체함을 인정하고 완료하며 미완료시 임차인은 임대차계약 해지 및 임대차보증금의 반환을 청구할 수 있다,안전,해당 없음,A,신탁물건이나 안전장치(해지·반환청구권) 명시 — 실제로 임차인 승소해 보증금 전액 반환
lbox_37441,37441,test,건물은 임대차 개시 3년 후 명도 철거 또는 전체 개보수로 인하여 연장할 수 없음을 임차인은 확인하며 갑과 을은 이를 명확하게 공증한다,안전,해당 없음,A,재건축 계획 사전고지 등 특별사정 있어 갱신청구권 포기 특약 유효로 인정
lbox_90237_해지,90237,test,차임 관리비 등을 2개월 이상 연체하였을 때 최고 없이 계약을 해지할 수 있다,위험,일방적 계약 해지,A,상가건물임대차보호법 제10조의8(3기 연체 요건) 위반 — 법원 무효 판정
lbox_90237_연체료,90237,test,월 차임과 관리비 등의 지급을 지체할 경우 각 건당 하루 만원의 연체료를 지불한다,위험,과도한 위약금,A,연체 금액과 무관한 정액 부과 — 약관법 제6조·제8조 위반으로 법원 무효 판정
lbox_90237_유익비,90237,test,임차인은 임차물에 투입한 어떤 비용도 상환 및 보상을 청구할 수 없고 권리금을 인정하지 않으며 기간 만료시 무조건 명도한다,위험,책임 면제,A,법원이 임대인 편의 위주 면책규정으로 성격 규정
lbox_90237_화재도난,90237,test,임차인은 임차한 건물 내에서 발생한 화재 도난 등의 사고에 대하여 임차인의 고의 과실 유무에 관계없이 대내외적으로 모든 책임을 지고 임대인의 책임으로 하지 않는다,위험,책임 면제,A,무과실책임까지 임차인에게 전가
lbox_90237_해석권,90237,test,계약조항의 해석에 관하여 계약서에 명시되지 않은 사항에 대하여 이의가 있을 때에는 상호협의하되 협의되지 않은 사항과 계약내용의 해석에 대하여 이견이 있을 경우에는 임대인의 결정을 따른다,위험,책임 면제,A,계약 해석 권한을 임대인에게 일방적으로 부여
lbox_5882,5882,test,피고의 비용으로 건물증축 및 기타 모든 설비에 대하여 임차만료시 원고 또는 제3자에게 권리 행사를 할 수 없다,안전,해당 없음,A,유익비상환청구권은 강행규정이 아니므로 포기 유효(법원 판단)
lbox_11329,11329,test,임대인은 임차인이 시행규칙에서 정한 사유에 해당하는 경우에만 임대차계약의 갱신을 거절할 수 있다,안전,해당 없음,A,"갱신거절 사유 제한적 열거 — 임차인 보호 방향, 대법원 엄격해석"
lbox_146290,146290,test,임차인이 명도하여야 하는 날까지 명도하지 아니하는 경우에는 명도하여야 하는 날의 다음날부터 명도일까지의 기간에 대해 기본 월 임대료의 1.5배에 상당하는 금액을 임대인에게 납부하여야 한다,안전,해당 없음,A,법원이 유효성을 다투지 않고 그대로 적용 — 위약금 기준선(150%)
lbox_116067,116067,test,이 사건 임대차계약 제4조를 위반하였을 때 임대인은 즉시 본 계약을 해지할 수 있다,안전,해당 없음,A,정당한 해지사유(무단 구조변경) 있어 즉시해지 조항 유효로 인정
lbox_78728,78728,test,임차인인 원고가 2기 이상의 차임을 연체할 경우 임대인인 피고는 최고 없이 임대차계약을 해지할 수 있다,안전,해당 없음,A,민법 제640조(2기 연체 기준)와 일치하는 일반 임대차 조항
aihub_0193_시설비,0193,test,을은 어떠한 경우든 갑에 대하여는 기 납부한 시설비에 대한 권리주장 및 반환요구를 할 수 없고 갑은 임대차 계약 종료시 임대보증금 반환의 책임만을 진다. 을이 갑 이외의 제3자에게 납부한 시설비 및 권리금에 대하여 임대인 갑은 어떠한 책임도지지 않는다. 갑은 해약시 어떠한 명목의 개발비 및 유익비에 대하여 이를 반환하지 않는다. 이에 을은 민.형사상의 이의를 제기치 않는다,위험,책임 면제,C,시설비·권리금·개발비 전면 면책 + 이의제기금지까지 포함된 강한 위험 조항
aihub_0193_해지,0193,test,갑이 지정한 입점 일로부터 15일이 경과하도록 을이 입점하지 않을 경우 임대차 계약은 자동적으로 해지되는 것으로 한다. 을이 위반할 경우에 을 및 제3자는 갑에 대하여 권리 주장을 할 수 없으며 갑은 별도의 통보 없이 자동해약 할 수 있다,위험,일방적 계약 해지,C,사전 통보·최고 절차 없는 임대인 일방 해지
aihub_0193_이율,0193,test,연체일수에 체납금액의 ○○%의 연체이자율을 적용 가산한 금액을 납부하여야 하며 임대 보증금의 ○○%을 위약금으로 지급한다,위험,불명확한 수수료·이자 조건,C,이율·위약금 비율이 공란 — 사후 임의 기재 여지
aihub_0193_수선면책,0193,test,갑은 건물의 수리 또는 건축공사로 인하여 을에게 불편을 주게 될지라도 하등 이에 대한 책임을지지 않으며 여하한 불편으로 인한 을의 정상적인 영업상의 지장에 대하여도 손해 배상할 책임이 없다,위험,책임 면제,C,임대인 귀책 공사로 인한 영업손실까지 전가
aihub_0193_위약금,0193,test,을의 요청에 따라 해약한 경우에는 을의 명도일까지의 일수 기산하며 임대 보증금의 ○○%을 공제한다,위험,과도한 위약금,C,공제 비율이 공란이라 상한 없음
aihub_0190_해지위약금,0190,test,을의 귀책사유로 계약 해지시 갑은 본 계약을 최고 없이 해지할 수 있고 을은 보증금의 10%에 해당하는 금액을 위약금으로 갑에게 귀속시키더라도 을은 이에 대해 이의를 제기하지 않는다,위험,일방적 계약 해지,C,최고없이해지+위약금몰취+이의제기금지 결합
aihub_0190_명도이의금지,0190,test,을이 갑의 합의없이 상품을 철수하거나 일방적으로 해약을 할 수 없으며 갑의 합의를 득하여 예고없이 해약할 시에는 갑은 그 책임을 지지 아니하며 이에 대해 을은 어떠한 이의 제기도 할 수 없다,위험,책임 면제,C,명도대행 관련 손실에 대한 이의제기 금지
aihub_0190_연체료,0190,test,연체일수에 대하여 연체금액의 연24%에 상당하는 연체료를 가산 납부하여야 한다,위험,불명확한 수수료·이자 조건,C,수치가 명시돼있으나 통상 수준보다 높은 연체율
aihub_0079_명도이의,0079,test,다음의 경우 회사는 최고절차 없이 즉시 일방적으로 본 계약을 해제할 수 있으며 상당한 배상의 요구에 대하여 하등의 이의를 제시치 아니한다,위험,일방적 계약 해지,C,최고절차 없는 즉시해지 + 이의제기 금지
aihub_0079_원상복구,0079,test,물건 전부의 점검을 하여 만약 귀사의 승락없이 공작 가공을 한 부분이 있을 때는 모두 이것을 원상으로 회복하며 을이 이를 이행치 않으면 귀사가 임의로 을의 비용으로서 시행한다 할지라도 하등의 이의없이 그 비용을 즉시 반환한다,위험,책임 면제,C,원상복구 비용 전가 + 이의제기 금지
aihub_0079_배액손해금,0079,test,위 물건의 반환에 있어서 그 반환을 태만히 한 경우 반환완료에 이르기까지 당시에 있어서의 약정임료의 배액의 율에 의한 손해금을 지급한다,위험,과도한 위약금,C,명도지연배상 200% — 정액무관 부과 구조
aihub_0079_상인자격,0079,test,본 센타의 상인자격을 상실했을 때는 그날부터 4일 이내에 명도하며 만약 위약이 있을 경우 귀사에서 여하한 수단을 취하여도 결코 이의를 제시치 아니한다,위험,책임 면제,C,극단적 이의제기 금지 반복 패턴
aihub_0079_해지즉시명도,0079,test,다음의 경우 최고절차 없이 즉시 소멸하며 을이 두고간 내외의 물건은 회사 및 상인회에서 적의 처분하여도 이의를 하지 아니한다,위험,일방적 계약 해지,C,최고없는 즉시소멸 + 처분에 대한 이의제기 금지
