source,case_id,split,clause_text,gold_risk_level,gold_risk_type,label_grade,note
fss_2019-18,2019-18a,test,① 채무자에 관하여 다음 각 호의 사유 중 하나라도 발생한 경우에는 회사로부터의 독촉·통지 등이 없어도 채무자는 당연히 회사에 대한 모든 채무의 기한의 이익을 상실하여 곧 이를 갚아야 할 의무를 집니다. 6. 법원으로부터 파산 선고 및 개인 회생 사건의 접수를 통보 받았을 때,위험,일방적 계약 해지,A,"여신거래기본약관 §7①6. 공정위 무효 판단(약관규제법 §6②·§7 1호) 인용 + 위원회는 해지 근거성 부정(""무효"" 판시 주체는 공정위임에 유의). [검수통과]"
fss_2019-18,2019-18b,test,① 본인은 대출금 연체가 1개월 이상 지속될 경우 귀사가 ②항 또는 제4조의 방법으로 대출원리금 회수를 하여도 어떠한 이의나 금전적 손해배상을 청구하지 않겠습니다. ② 제1조에서 담보로 제공된 보험이 실효 등 효력을 상실한 경우 귀사가 강제로 해지하여 그 해지환급금으로 본인의 대출원리금을 상환처리(상계)하는 등 당사의 강제회수를 위한 어떠한 법적조치에도 이의를 제기하지 않을 것을 확약합니다.,위험,권리행사 제한,A,"보험계약 담보제공 추가약정서 §3 — 이의제기 포기 확약. ""실효"" 문언 불명확·약관 개정 필요 지적. [검수통과] [재매핑 #89: 책임 면제→권리행사 제한, 이의제기 포기 확약이 핵심(원문: 어떠한 이의나 금전적 손해배상을 청구하지 않겠습니다) — 책임 면제보다 권리행사 제한이 정확]"
fss_2005-41,2005-41,test,회사의 중대한 과실이 없는 한 계약자는 계약의 해지를 할 수 없다,위험,권리행사 제한,A,"투자자문계약서 §12③ — [재구성 인용] 원문 블록 없음, 피신청인 주장 내 서술 재구성. 근거: 약관규제법 §3 명시·설명의무 위반 편입 배제 + 방판법 §29 임의해지권 저촉으로 적용 배척(무효 판단 아님). 신규유형 병기: 소비자 해지권 제한(기존 유형과 방향 반전 — 전이 실험 관찰 항목). [검수-수정승인] [재매핑 #89: 일방적 계약 해지→권리행사 제한, 큐레이터 메모(신규유형 병기: 소비자 해지권 제한, 방향반전) 반영 — 회사 해지가 아니라 소비자 해지권 제한]"
fss_2018-9,2018-9,test,"회사는 피보험자(보험대상자)가 보험기간 중 진단확정된 질병으로 '장애인 복지법 시행령' 제2조 및 '장애인 복지법 시행규칙' 제2조의 지체장애, 뇌병변장애, 시각장애 등 중 하나 이상의 장애(단, 자폐장애, 정신장애, 간질장애 제외)가 발생하고, 1급 또는 2급 장애인이 되었을 때 최초 1회에 한하여 10년간 매년 질병 고도장애(1,2급) 생활자금으로 보험수익자에게 지급합니다",안전,해당 없음,A,"질병고도장애생활자금 특약 §2. 주위적: ""보험기간 중""은 진단확정만 수식함이 문언상 명백 / 예비적: 작성자 불이익 원칙 — 소비자 유리 확정. 신규유형 병기: 보장범위 불명확. [검수-수정승인]"
fss_2009-42,2009-42,test,"채권자는 피담보채무의 범위를 달리하는 다음의 세 유형 가운데 어느 하나를 설정자가 선택할 수 있음을 설명하였고, 설정자는 그 가운데 '한정근저당(자필기재)'에서 정한 채무를 담보하기로 합니다. [한정근저당] 채무자가 채권자(본·지점)에 대하여 다음 종류의 거래로 말미암아 현재 및 장래에 부담하는 모든 채무 ___거래, ___거래 [포괄근저당] 채무자가 채권자에 대하여 현재 및 장래에 부담하는 다음 채무 가. 어음대출, 증서대출, 기타 여신거래로 말미암은 모든 채무",안전,해당 없음,A,"근저당권설정계약서 피담보채무 범위란(일부 생략 전재, 한정근저당 거래종류 공란이 분쟁 핵심). 한정근저당의 포괄 해석 시도를 배척(§5② 유리해석은 병렬 논거 중 하나). 개별 계약 해석 성격 강함 — 비중 낮게. 신규유형 병기: 포괄 담보 범위 확장. [검수-수정승인]"
fss_2008-49,2008-49,test,(보통보험약관 §27③) 회사가 약관대출이자의 납입지연 등을 이유로 약관대출 대상계약을 해지하고자 하는 경우에는 해지 10일전까지 계약자에게 그 내용을 서면으로 통지하여야 한다. / (차용약정서 §4) ① 다음 각 호의 사유중 하나라도 발생한 경우에는 회사는 보험계약대출계약 및 대상계약을 해지하고 해지환급금으로 대출원리금에 충당할 수 있습니다 ② 해지하는 경우에는 그 내용을 최종의 주소지로 해지이유와 함께 서면으로 통지해야만 합니다.,안전,해당 없음,A,경계안전 — 강제해지·상계 조항 유효 전제하되 서면통지 도달(민법 §111) 미비로 해지 무효. 조항 패키지가 통지 요건을 내장. §3④(안내 비의무) 별도 위험 추출은 위원회 판단 부재로 기각됨. [검수-수정승인]
fss_2011-60,2011-60,test,"(약관 §14②) 계약의 부활(효력회복)에 관하여는 제1조(보험계약의 성립), 제10조, 제27조 및 제29조의 규정을 준용한다 / (§1②) 회사는 피보험자가 계약에 적합하지 아니한 경우에는 승낙을 거절할 수 있다",안전,해당 없음,A,"[재구성 인용] 원문 블록 없음. 경계안전 — 조항 자체는 부정되지 않되 해지 전 보험사고를 이유로 한 부활 거절에의 적용만 통제(""부활제도 형해화""). 원문이 결정서(안) 서식임을 출처에 유의. [검수-수정승인]"
fss_2026-1,2026-1,test,"회원은 할부계약서를 교부받은 날 또는 계약서를 교부받지 않은 경우에는 상품 또는 서비스를 제공받은 날부터 7일 이내에 할부계약을 철회할 수 있습니다. 다만, 다음 각 호의 1에 해당하는 경우 회원은 할부철회권을 행사할 수 없습니다. 1. 사용에 의하여 그 가치가 현저히 감소될 우려가 있는 자동차, 냉장고, 세탁기, 낱개로 밀봉된 음반·비디오물 및 소프트웨어를 사용한 경우 2. 설치에 전문인력 및 부속자재 등이 요구되는 냉동기, 전기 냉방기, 보일러를 설치한 경우 3. 구매한 상품 또는 서비스가 20만원 미만인 경우 4. 회원의 책임있는 사유로 해당 상품이 멸실 또는 훼손된 경우 5. 회원이 상행위를 위하여 상품 또는 서비스를 구매한 경우 6. 일부결제금액이월약정(리볼빙) 이용금액",안전,해당 없음,A,"신용카드 개인회원 표준약관 §12①(제1항만 수록). 제한사유 열거에 용역 가치감소 없음 → ""약관이 우선 적용""으로 철회권 적극 인정 — 소비자 유리 적용형. 카드 도메인 유일. 신규유형 병기: 청약철회권 제한. [검수-수정승인]"
fss_사례집1권,2008_PF수수료,train,"제1조(목적) 본 확인서의 목적은 주식회사 OO증권(이하 ‘병’이라고 함)이 ‘이 건 사업’에 대하여 주식회사 A건설(이하 ‘갑’이라고 함)에게 프로젝트 파이낸싱(PF) 대출을 실행하고, ‘이 건 건물’이 준공된 후, ◇◇상호저축은행(이하 ‘을’이라고 함)이 ‘이 건 건물’중 미분양 물건을 담보로 ‘갑’에게 대출할 것을 확인하고자 함에 있다. 제5조(수수료) ① ‘갑’은 ‘을’로부터 본 확인서를 발급받음과 동시에 ‘을’에게 본 확인서 발급에 대한 수수료 120백만원을 지급하기로 한다. ② 본 확인서가 발급된 후에는 ‘병’이 ‘이 건 사업’과 관련하여 ‘갑’에게 대출한 27억원을 전액 회수하여 ‘을’이 ‘갑’에게 ‘이 건 대출’을 실행하지 않게 되는 경우가 발생하더라도 ‘을’은 ‘갑’으로부터 수령한 수수료를 ‘갑’에게 반환하지 아니한다.",안전,해당 없음,A,"경계안전 — 수수료 불반환 조항, 민법 §104 불공정성 직접 심사 후 유효. [2차검수통과]"
fss_사례집1권,2008_중도상환면제,train,"제1조(중도상환수수료) ① 이 약정에 의한 대출금을 대출기간 만료일(기한 연기로 만기일이 연장된 경우 포함) 전에 상환(일부 상환, 약정감액 포함)할 경우에는 다음 각호의 기준에 의한 중도상환수수료를 조합에 지급하기로 합니다. 1. 대출 실행일부터 1년 이내 상환하는 경우 상환금액(약정 감액 금액) × 2.0% 2. 대출 실행일부터 2년 이내 상환하는 경우 상환금액(약정 감액 금액) × 1.5% 3. 대출 실행일부터 3년 이내 상환하는 경우 상환금액(약정 감액 금액) × 1.0% ② 다음 각호의 사유에 따라 대출기간 만료일 전(기한연기로 만기일이 연장된 경우 포함)에 상환(일부 상환 포함)하는 경우에는 중도상환수수료를 지급하지 않습니다. 1. 정상적인 할부 상환 원금을 납입하는 경우 2. 기한의 이익 상실 등의 사유로 조합이 대출금을 회수하는 경우 3. 대출 실행일로부터 3년이 경과하여 상환하는 경우 4. 기타 조합에서 정한 중도상환수수료 면제에 해당하는 경우",안전,해당 없음,A,"면제사유 조항 합목적 해석으로 유효 적용, 청구 기각. 888과 같은 train(중도상환 쌍). [2차검수통과]"
fss_사례집1권,2011_타행대환수수료,train,｢여신거래약정서｣ 제5조(중도상환 및 약정한도 미사용수수료) ① 본인이 약정한 대출기한 이전에 대출금 전액을 상환하였을 경우에 상환되는 자금 또는 우대금리 등으로 혜택을 받은 금액에 대하여 상환시점부터 당초 약정기간 동안 재운용하지 못함에 따라 발생하는 조합의 손실을 보전하기 위해 귀 조합이 정하는 바에 따라 기한전 중도상환수수료를 납부하기로 합니다. ｢대출특약사항 약정서｣ 제3항(중도상환수수료) 약정기간내 타행대환대출시 상환원금의 1.5% 중도상환수수료가 부과됨.,안전,해당 없음,A,"경계안전(위험→강등) — 조항 문언대로 한정 적용, 약정 밖 부과만 배척. [2차검수-수정승인]"
fss_사례집1권,2001_리스인수특약,test,"특약사항 제10조에서는 리스물건 이용자가 리스기간 만료시 리스물건을 인수할 의무가 있는 것으로 규정하고 있었음. 그런데 제3차 변경계약서 특약사항 제4조 및 제4차 변경계약서 특약사항 제6조에서는 “을이 별표(1)기재 리스물건을 양도받고자 할 때에는 취득원가의 10% 상당액을 현금으로 지급하고 양수하기로 하되, 기타 조건은 본 계약서 제조항을 따르기로 한다”고 변경하고, 특약사항 제7조에서는 “본 변경계약서에서 새로이 정하거나 변경한 사항을 제외하고는 당초 계약서의 제조항이 그대로 적용되는 것으로 한다.”고 규정하고 있음.",안전,해당 없음,A,경계안전 — 모호 특약을 약관규제법 §5②·작성자불리로 통제. [2차검수통과]
fss_사례집1권,2001_변제충당지정,train,"｢여신거래기본약관｣ 제12조 제1항에서 “채무자의 채무전액을 소멸시키기에 부족한 때에는 은행이 적정하다고 인정하는 순서, 방법에 의하여 변제 또는 상계에 충당할 채무를 지정할 수 있다”라고 하고 있으며 “은행의 채권보전에 지장이 없는 범위내에서 보증인의 정당한 이익을 고려하도록“ 규정하고 있으므로 은행의 채권보전에 지장이 있다고 판단되는 경우까지 보증인의 이익을 고려할 수는 없음. 경매배당금 수령시 채무자의 대출금 일체가 기한이익상실 상태로 각 대출금의 연체이율은 연 19%로 변제이익면에서 차이가 없으므로 이행기가 먼저 도래한 어음할인채무부터 우선 변제충당하는 것이 타당함. / ｢여신거래기본약관｣ 제7조에 의하면 “채무자가 제공한 담보재산에 대하여 경매개시 결정이 있는 때에는 채무자는 은행으로부터의 독촉․통지 등이 없어도 당연히 은행에 대한 채무의 기한의 이익을 상실하여 곧 이를 변제(또는 이행)할 의무를 지기로 한다”고 규정되어 있고, ｢어음할인약정서｣ 제5조에는 “채무자 및 할인받은 어음의 주된 채무자(약속어음 발행인, 환어음 인수인을 말한다)가 은행의 여신거래기본약관 제7조 제1항 각호의 1에 해당한 때에는 그가 할인받은 모든 어음에 대하여 은행으로부터",안전,해당 없음,A,"여신기본약관 변제충당·자동 기한이익상실 조항 그대로 적용, 기각. [2차검수통과]"
fss_사례집1권,2008_신탁협조조항,train,"제2조 (처분방법등) 수탁자는 신탁원본 수익자 및 우선수익자가 동의하는 경우 신탁부동산에 대한 채권자의 이익을 해하지 않는 범위내에서 적정하다고 인정되는 방법으로 신탁부동산을 처분할 수 있다. 제7조 (신탁부동산의 처분) 수탁자와 신탁원본수익자는 이 신탁계약에 의한 신탁등기와 동시에 신탁부동산에 대한 처분 활동을 하기로 하며, 처분대금의 처리는 우선수익자와 협의하여 채무변제에 우선 충당하고, 나머지 금액은 신탁원본 수익자에게 교부하기로 한다. 2) 부동산담보신탁 변경계약서 제10조 (처분대금의 채무변제) ① 수탁자는 102호 매각시 150백만원, 105호 매각시 175백만원, 106호 매각시 175백만원을 제2순위 우선수익자에게 변제하기로 한다. ② 전1항에도 불구하고 제1순위 우선수익자의 채무변제 및 부대비용 집행 후 잔여금액이 호수별 변제금액에 미달하는 경우 제2순위 우선수익자에게 잔여금액 범위 내에서 채무를 변제하되, 수탁자는 동 신탁부동산 또는 타 신탁부동산 처분대금으로 제2순위 우선수익자의 채무가 완제될 수 있도록 제2순위 우선수익자에게 최대한 협조하여야 한다.",안전,해당 없음,A,"경계안전 — '협조하여야 한다' 조항의 비구속성 직접 판단, 기각. 금융권 신탁 사례. [2차검수통과]"
fss_사례집1권,2004_포괄근보증기간,test,"① 본건 포괄근보증계약서 제2조(보증기간)에 의하면 그 보증기간은 “정하지 아니한다”라고 규정되어 있고, 본건 포괄근보증계약서는 처분문서에 해당하므로 동 처분문서의 내용을 부정하려면 그 보증기간이 C기업의 공장시설 완료시까지로 한정하기로 하는 당사자간의 합의가 있었다는 사실이 입증되어야 하나 이를 입증할 수 있는 자료를 발견할 수 없는 점. ② 상기 보증계약서 제2조에 “보증약정일로부터 3년이 경과한 때에는 보증인은 서면에 의하여 이 보증약정의 해지의 의사표시를 할 수 있고, 그에 의한 해지의 효력발생은 의사표시가 은행에 도달한 날로부터 45일이 경과한 때로 하며 이때 피보증채무가 확정된다.”라고 규정되어 있으나, 연대보증인인 A기업 및 채무자인 C기업의 실질적인 경영주인 B씨는 1994.6.24. 피신청인이 채무자의 공장시설에 대해 후취담보 취득을 완료한 사실을 인지할 수 있는 지위에 있었음에도 동 후취담보 제공 이후에도 피신청인과 계속 금융거래를 하면서 수년 동안 피신청인에게 보증채무 해지를 요청한 사실이 없는 점(2003.9.5. 신청인들은 서면으로 보증채무 소멸을 주장함).",안전,해당 없음,A,경계안전 — '보증기간 정하지 아니한다' 처분문서 문언대로 유효(제한해석 배척). [2차검수통과]
fss_사례집1권,2002_자유적립이율,test,"① 피신청인의 ｢적립식예금약관｣ 제7조 제2항에 의하면 “자유적립식예금은 입금횟수에 관계없이 저축금마다 입금일부터 만기일 전날까지의 기간에 대하여 계약일 당시 영업점에 게시한 이율로 셈한 이자와 원금을 만기지급금으로 한다.”라고 규정되어 있고, 피신청인의 본 건 예금에 대한 상품안내문의 기재내용에 의하면 본건 예금의 이자는 최초 가입당시 예치기간별 이율을 차등 적용하여 계산한다고 설명되어 있는 점.",안전,해당 없음,A,"게시 이율 조항 적용·설명의무 위반 부정(통장 표기 7%와 충돌 사안), 기각. [2차검수통과]"
fss_사례집1권,2003_근로자우대이율,test,"｢근로자우대저축특약｣의 금리조항인 제4조 제1항에는 “은행은 이 적금을 가입한 거래처에게 계약일 당시 영업점에 게시한 특별이율로 셈한 이자를 계약금액에 더하여 지급한다.”라고만 되어 있고 금리변경에 대한 내용은 없으나, 동 특약 제1조에 “이 특약에서 정하지 않은 사항은 예금거래기본약관 및 적립식예금약관과 조세특례제한법, 동시행령 등 법령에서 정하는 바에 따른다.”라고 규정되어 있음. 상기 ｢예금거래기본약관｣의 제9조 제2항에는 “은행은 예금종류별 이율을 적은 예금이율표를 영업점에 놓아두거나 게시하며, 이율을 바꾼 때는 그 바꾼 내용을 영업점에 1개월 동안 게시한다.”라고 규정되어 있으며, ｢적립식예금약관｣ 제4조 제1항에는 “이 예금의 월저축액을 매월 약정한 날짜에 입금하였을 때에는 은행은 저축금마다 입금일부터 만기일 전날까지의 기간에 대하여 계약일 당시 영업점에 게시한 이율로 셈한 이자를 저축금 총액에 더한 금액을 만기지급금으로 지급한다.”고 규정되어 있음.",안전,해당 없음,A,"경계안전 — '기습조항 아님' 명시 판단, 게시 특별이율 적용. [2차검수통과]"
fss_사례집1권,2000_카드서면신고,val,"① ◇◇카드 회원약관 제17조에 의하면 “카드의 분실 및 도난신고는 소정양식에 의한 서면신고를 하여야 한다. 이 경우 카드사나 은행은 접수사실을 확인할 수 있는 사항을 알려야 하며, 이 경우 회원은 이러한 사항을 확인 하여야 한다.”라고 규정하고 있는 점에 비추어, 서면신고가 아닌 전화상의 신고의 경우에는 고객이 접수사실을 확인할 만한 증거를 확보하여야 하는 의무를 진다고 볼 수 있는 점.",안전,해당 없음,A,"경계안전 — 분실신고 서면 요건 조항 유효 적용, 소비자 청구 기각. [2차검수통과]"
fss_사례집1권,2006_제3자보관면책,train,"본건 ｢신용카드개인회원규약｣(이하 “규약”이라 함) 제20조(카드의 분실․도난신고와 보상) 제3항 제2호에는 “대여, 양도, 담보제공, 불법대출, 제3자 보관 등으로 인한 부정사용”의 경우 카드사가 보상을 하지 않도록 규정하고 있고, 규약 제3조 제2항은 “카드의 소유권은 카드사에 있으므로 회원은 이 카드를 타인에게 대여하거나 양도 또는 담보의 목적으로 이용할 수 없으며, 선량한 관리자로서 주의를 다하여 카드를 이용, 관리하여야 한다.”고 규정하고 있음.",위험,책임 면제,A,보상거절 조항을 신의칙상 제한해석으로 통제 — 소비자 승. 3998과 같은 train(카드면책 쌍). [2차검수통과]
fss_사례집1권,2005_카드론면책한정,train,"한편, 피신청인은 「신용카드개인회원규약」제18조(비밀번호 관련 책임) ｢신용카드 개인회원규약｣ 제18조(비밀번호 관련 책임) 카드사는 현금서비스, 카드론 등 비밀번호를 이용하는 거래시 입력된 비밀번호와 카드사에 신고된 비밀번호가 같음을 확인하고 조작된 내용대로 현금서비스, 카드론 등 거래를 처리한 경우 카드사의 과실이 아닌 도난, 분실 기타의 사고로 회원에게 손해가 발생하더라도 책임을 지지 아니합니다.",안전,해당 없음,A,"경계안전(위험→강등) — 면책조항 문언대로 한정 유효, 확대적용만 배척. [2차검수-수정승인]"
fss_사례집1권,2006_위조카드책임,test,"제19조(위․변조 카드에 대한 책임) 위․변조된 카드로 인한 부정사용에 따른 책임은 은행에 있습니다. 다만, 다음 각호의 1의 사항에 해당되는 부정사용에 따른 모든 책임은 회원이 부담합니다. 1. 고의 또는 중대한 과실에 의한 비밀번호 누설 2. 카드의 양도 또는 담보목적으로의 제공",안전,해당 없음,A,"소비자보호 조항(위·변조 책임=은행) 그대로 적용, 배상 인용. [2차검수통과]"
fss_사례집1권,2015_할부항변배제,test,"할부전환시 할부항변권이 적용되지 않는다 (일시불→할부 전환 시 항변권 배제 — 온라인 안내문 문구, 계약 조항 아님)",위험,권리행사 제한,A,"신규유형 병기: 소비자 항변권·철회권 제한. 할부거래법 §43(불리약정 무효)로 배척. ※계약 조항이 아닌 온라인 안내문 문구. 2026-1과 같은 test(할부 계열). [2차검수-수정승인] [재매핑 #89: 일방적 계약 해지→권리행사 제한, 큐레이터 메모(신규유형 병기: 소비자 항변권·철회권 제한) 반영]"
fss_사례집1권,2008_약관변경동의간주,val,본건 ｢신탁약관｣ 제49조 제4항 제49조(신탁약관의 변경) ④ 수익자가 제2항의 규정에 의한 공시일로부터 1월 이내 또는 제3항의 규정에 의한 게시기간(이하 “이의신청기간”이라 한다) 내에 판매회사에 이의신청서를 제출하지 않은 때에는 신탁약관 변경에 대해 동의한 것으로 본다. ⑤ 수익자가 이 신탁약관 및 모투자신탁의 신탁약관 변경에 대하여 이의신청기간내에 이의신청서를 제출하고 수익증권의 환매를 청구하는 경우에는 제23조의 규정에 불구하고 환매수수료를 받지 아니한다.,위험,일방적 급부·조건 변경,A,"신규유형 병기: 동의 간주형 일방 변경. 약관규제법 §12 1호로 편입·구속력 부정. [2차검수통과] [재매핑 #89: 일방적 계약 해지→일방적 급부·조건 변경, 큐레이터 메모(신규유형 병기: 동의 간주형 일방 변경) 반영 — 해지가 아니라 약관 변경]"
