clause_key,verdict,reviewer,reason
2023나13849,기각,solar,조항 유·무효 판단 부재
2023가합20283,기각,solar,축자 원문 부재 (제안이 원문과 불일치)
2024다215375,기각,solar,조항 유·무효 판단 부재
2024가합22393,기각,solar,조항 문언이 아님 (기관의 설명·요약)
2022다204333,기각,solar,조항 유·무효 판단 부재
2022다204333,기각,solar,조항에 대한 기관·법원의 판단이 자료에 없음
2021가단5295915,기각,solar,조항에 대한 판단이 자료에 없음
"제16조제1항,제2항은보험금지급사유로서‘노인장기요양보험수급대상으로인정되었을경우’에관하여‘국민건강보험공단등급판",수정승인,solar,
2020다232709,기각,solar,조항 유·무효 판단 부재
2017나1283,기각,solar,조항 유·무효 판단 부재
2024다296329,기각,fable5,조항 유·무효 판단 부재
2023다271033,기각,fable5,조항 문언이 아님 (추출 절단)
2023다271033,기각,fable5,조항 유·무효 판단 부재
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2025도4697,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2019다255416,기각,fable5,법령 인용 오추출
2024가단5029447,수정승인,fable5,
2024누38461,기각,fable5,조세 사건 노이즈 + 법령 인용 오추출
2024누38461,기각,fable5,조세 사건 노이즈 + 법령·입법자료 인용 오추출
2024누34377,기각,fable5,조항 유·무효 판단 부재
2024나2028036,기각,fable5,조항 유·무효 판단 부재 (B2B 계약)
2024나2028036,기각,fable5,조항 유·무효 판단 부재 (B2B 계약)
2022다204333,기각,fable5,조항 문언이 아님 (추출 아티팩트)
2022다204333,기각,fable5,축자 단일 조항 문언 부재 + 조항 단위 부당성 판단 부재
2022나78502,기각,fable5,조항 문언이 아님 (추출 아티팩트)
2022나78502,기각,fable5,조항 문언이 아님 (추출 아티팩트)
2022나78502,기각,fable5,조항 문언이 아님 (추출 아티팩트)
2021가단5243198,기각,fable5,법령 인용 오추출
2025다216444,기각,fable5,조항 유·무효 판단 부재
2025다210104,기각,fable5,조항 문언이 아님 (판결 이유 서술)
2025다210104,기각,fable5,축자 조항 전문 부재
2025노672,기각,fable5,형사 사건 노이즈
2024누34377,기각,fable5,조세 사건 노이즈 + 조항 유·무효 판단 부재
2024나65751,자동기각,fable5,기존 골든셋과 중복
2024나65751,기각,fable5,조항 유·무효 판단 부재
2024누56490,기각,fable5,조세 사건 노이즈 + 조항 유·무효 판단 부재
2024나12050,자동기각,fable5,기존 골든셋과 중복
2024나12050,기각,fable5,조항 유·무효 판단 부재 + 준중복
2025나10686,기각,fable5,조항 유·무효 판단 부재
2025나10686,기각,fable5,조항 유·무효 판단 부재
2025나10686,기각,fable5,조항 문언이 아님 (판결 이유 서술 오추출)
2011다29987,기각,fable5,조항 유·무효 판단 부재 + 조항 문언이 아님
2004다30675,기각,fable5,조항 유·무효 판단 부재
2002나73748,기각,fable5,조항 유·무효 판단 부재
2001가단149033,수정승인,fable5,
2023노557,기각,fable5,계약 조항과 무관한 형사 사건 노이즈
2024다227699,기각,fable5,조항 유·무효 판단 부재
2021가합523292,기각,fable5,조항 문언이 아님 (판결 이유 서술 오추출)
2021가합523292,기각,fable5,조항 유·무효 판단 부재 + 절단 추출
2023나20705,기각,fable5,조항 문언이 아님 (확인서 문구 절단 추출)
2023나20705,기각,fable5,판결 이유 서술이 섞인 추출
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,자동기각,fable5,기존 골든셋과 중복
2023나20705,자동기각,fable5,기존 골든셋과 중복
2023나20705,기각,fable5,조항 문언이 아님 (제3자 계약 증거 인용)
2023나20705,수정승인,fable5,
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023다232526,기각,fable5,조항 문언이 아님 (절단 오추출)
2022누21856,기각,fable5,조세 사건 노이즈 (법령 인용 오추출)
2021두63044,기각,fable5,조세 사건 노이즈 (법령 해석 판시)
2023가합50498,기각,fable5,판결 이유 서술이 섞인 추출
2023나2008554,기각,fable5,조항 문언이 아님 (절단 추출)
2023나2008554,기각,fable5,법령 인용 오추출
2023나2008554,자동기각,fable5,기존 골든셋과 중복
2023나2008554,자동기각,fable5,기존 골든셋과 중복
2023나2008554,기각,fable5,판결 이유 서술이 섞인 추출 + 골든셋 기등재 조항
2015나2050307,기각,fable5,조항 유·무효 판단 부재
2015나2050307,기각,fable5,조항 유·무효 판단 부재
2015나2050307,기각,fable5,조항 유·무효 판단 부재 + 문언 절단
2015나2050307,수정승인,fable5,
2015나2050307,기각,fable5,판결 이유 인용부가 섞인 추출
2023다239756,기각,fable5,조항 문언이 아님 (문장 중간 절단 오추출)
2023나20705,기각,fable5,조항 문언이 아님 (확인서 문구)
2023나20705,기각,fable5,판결 이유 서술이 섞인 추출
2023나20705,기각,fable5,조항 유·무효 판단 부재 (B2B 계약)
2023나20705,자동기각,fable5,기존 골든셋과 중복
2023나20705,자동기각,fable5,기존 골든셋과 중복
2023나20705,기각,fable5,제3자 간 계약 증거 조항 + 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나2058221,기각,fable5,근로계약 사건 — 소비자 계약 도메인 밖
2024나65751,자동기각,fable5,기존 골든셋과 중복
2024나65751,기각,fable5,조항 문언이 아님 (확약서 문구)
2024나12050,자동기각,fable5,기존 골든셋과 중복
2024나12050,기각,fable5,조항 유·무효 판단 부재
2024다278314,기각,fable5,조항 문언이 아님 (문장 중간 절단 오추출)
2024다278314,기각,fable5,조항 문언이 아님 (판결 이유 서술)
2024가단5029447,수정승인,fable5,
2024다227699,기각,fable5,조항 유·무효 판단 부재
2023노5007,기각,fable5,형사 사건 노이즈
2023노5007,기각,fable5,형사 사건 노이즈 + 법령 인용 오추출
